user,Apr
42,2
109,6
143,8
171,1
587,1
674,2
698,2
734,1
786,1
810,1
825,1
882,1
900,5
902,6
938,1
950,7
1298,1
1590,1
1816,5
1882,2
1887,8
1992,1
2070,2
2136,1
2385,6
2451,7
2597,4
2616,2
2642,1
2747,1
2907,1
2933,1
2943,1
3038,2
3214,1
3430,3
3440,10
3530,1
3551,2
3656,4
3692,10
3710,2
3761,1
4021,10
4288,1
4397,1
4643,13
4873,1
4954,2
5137,10
5408,7
5527,1
5674,1
5684,1
5905,2
5948,5
6066,1
6281,4
6321,1
6408,1
6666,2
6693,2
6750,1
6821,2
6850,1
6913,1
7002,13
7159,9
7248,2
7291,1
7322,3
7375,6
7418,7
7458,19
7539,4
7621,1
7684,1
7706,1
7838,1
8000,2
8013,1
8032,1
8096,3
8204,3
8281,2
8535,1
8757,1
9280,1
9399,3
9497,1
9586,1
9662,2
9701,3
9813,1
9871,1
9987,1
10305,2
10391,2
10400,26
10491,2
10556,2
10600,2
10831,1
11124,1
11144,1
11249,2
11346,9
11413,1
11428,1
11776,2
12046,1
12137,5
12156,1
12162,3
12721,2
12913,1
13003,3
13068,1
13073,1
13097,1
13237,1
13380,2
13514,1
13579,2
13829,8
13892,1
14060,8
14174,1
14248,1
14290,1
14350,5
14373,4
14554,1
14558,3
14600,2
14626,1
14780,4
14954,2
15290,32
15400,1
15497,3
15514,2
15549,1
16011,6
16064,1
16111,7
16179,1
16329,2
16443,3
16504,9
16736,2
16795,6
17071,6
17158,1
17220,10
17233,1
17324,3
17413,3
17586,5
17601,1
17694,2
17803,3
17891,15
17906,18
17923,2
17954,25
18094,1
18180,2
18240,1
18289,2
18388,4
18815,1
18886,1
18926,1
18980,1
19090,3
19100,8
19274,2
19321,1
19362,1
19738,1
19861,2
19899,1
19945,4
20062,2
20099,5
20118,2
20224,3
20358,1
20616,1
20678,82
20710,3
20786,2
20952,1
21069,1
21139,2
21175,6
21216,1
21237,4
21246,1
21279,2
21391,5
21508,13
21530,3
21593,1
21787,3
22186,1
22213,1
22243,5
22284,5
22374,1
22605,1
22709,1
22868,1
22872,2
22926,10
22943,2
22962,1
22992,2
23003,9
23057,4
23474,2
23598,3
23844,2
24118,1
24188,3
24612,1
25132,3
25264,1
25474,7
25599,1
25600,3
25717,5
25784,1
25940,1
26036,2
26262,1
26627,1
26636,1
26671,1
26880,1
27150,2
27403,1
27498,1
27554,4
27783,3
28101,2
28126,1
28205,6
28239,4
28292,1
28297,2
28399,1
28414,4
28544,1
28668,2
28786,1
28969,4
28970,1
29149,8
29264,4
29429,3
29436,4
29560,1
29639,10
29722,2
29727,1
29831,2
30234,1
30252,1
30266,13
30367,4
30378,1
30380,1
30386,4
30622,62
30657,2
